"name","name_root","hypernym"
"acelecilik","aceleci","['hata']"
"aceleleştirme","aceleleştir","['aceleleştir']"
"acele posta","acele posta","['acele', 'teslim']"
"acem","acem","['perde', 'keman', 'saz', 'zil']"
"acemaşiran","acemaşiran","['şe', 'makam', 'saz']"
"acemborusu","acemborus","['bitki', 'meyve', 'ağaç', 'çiçek']"
"acembuselik","acembuselik","['makam', 'nevi']"
"Acemce","acemce","['kelime', 'dil', 'lis']"
"Acemce","acemce","['dil', 'kelime', 'lis', 'metin', 'yazı']"
"acemileşme","acemileş","['acemileş']"
"acemilik","acemi","['tama']"
"acemi ağası","acemi ağa","['köle', 'veli', 'ağa', 'cari']"
"acemi er","acem er","['er', 'memur', 'asker']"
"acemi ocağı","acemi ocak","['kale', 'har', 'nevi']"
"acemi oğlanı","acemi oğlan","['hıristiyan', 'hristiyan', 'müslüman', 'rum', 'köle']"
"acemkürdi","acemkür","['makam', 'tar', 'vez']"
"Acemleşme","acemleş","['acemleş']"
"Acemleştirme","","['is']"
"Acem halayı","acem halay","['türk', 'aşık']"
"Acem işi","acem iş","['nak', 'elbise']"
"Acem kılıcı","acem kılıc","['za', 'ka']"
"Acem lalesi","acem lales","['bitki']"
"Acem pilavı","acem pilav","['yemek', 'türk', 'şam']"
"Acem (II)","acem ( ii )","['kav', 'arap', 'kabil', 'türk']"
"Acem (II)","acem ( ii )","['devlet', 'arap', 'kabil']"
"Acem (II)","acem ( ii )","['arap', 'i ranlı', 'türk', 'şii']"
"acente","acente","['acent']"
"acente","acente","['acent', 'işletme']"
"acente","acente","['banka', 'şube', 'bankanın', 'işyeri', 'acent']"
"acente","acente","['acent', 'şirket']"
"acente","acente","['acent', 'işletme', 'işyeri']"
"acentelik","acentelik","['acent', 'müesses', 'hizmet', 'işyeri']"
"acentelik","acentelik","['acent', 'müesses', 'sigorta', 'işletme', 'işyeri']"
"aceze","aceze","['aceze']"
"acı","acı","['renkte', 'tat', 'şek']"
"acı","acı","['tat', 'tatlı', 'kelime']"
"acı","acı","['tatlı', 'tat', 'yemek']"
"acı","acı","['his', 'nas']"
"acı","acı","['nas']"
"acı","acı","['nas', 'vah']"
"acı","acı","['nas', 'bela', 'ta']"
"acıkılma","acık","['durum']"
"acıkış","acıkış","['is']"
"acıklılık","acıklı","['hâl']"
"acıklı komedi","acık komedi","['fab', 'oyun', 'komedi']"
"acıkma","acıkma","['acıkma']"
"acıktırma","acık","['acık']"
"acılanma","acıla","['acıla']"
"acılaşma","acılaş","['acılaş']"
"acılaştırma","acılaş","['acılaş']"
"acılık","acı","['sebeb', 'hâl']"
"acılık","acı","['met', 'keder']"
"acılılık","acılı","['hâl', 'durum']"
"acıma","acı","['acı']"
"acıma","acı","['af', 'nas']"
"acımık","acımık","['bitki', 'su', 'balık']"
"acındırma","acın","['acın']"
"acınılma","acın","['acın']"
"acınma","acı","['acı']"
"acırga","acırga","['bitki', 'meyve', 'tatlı', 'ağaç']"
"acısızlık","acısız","['sebeb']"
"acıtış","acıt","['acıt']"
"acıtma","acı","['acı']"
"acıyıcı","acıyı","['şah']"
"acıyış","acıy","['acıy']"
"acı ağaç","acı ağaç","['bitki', 'şifa', 'ağaç', 'tatlı', 'meyve']"
"acı badem","acı badem","['meyve', 'badem', 'ağaç']"
"acı badem","acı badem","['meyve', 'bitki', 'badem', 'ağaç', 'tatlı']"
"acı badem kurabiyesi","acı badem kurabiye","['tatlı', 'nevi', 'yemek']"
"acı bakla","acı bakla","['para', 'maya']"
"acı bal","acı bal","['deli', 'mis']"
"acı balık","acı balık","['tatlı', 'çiğ', 'balık']"
"acı ceviz","acı ceviz","['tatlı', 'meyve', 'ceviz']"
"acı çiğdem","acı çiğdem","['zehir', 'çiğ', 'hastalık', 'bitki']"
"acı elma","acı elma","['şer']"
"acı hıyar","acı hıyar","['kıt', 'af']"
"acı karpuz","acı karpuz","['kat']"
"acı kavak","acı kavak","['met']"
"acı kavun","acı kavun","['mis']"
"acı kök","acı kök","['toz', 'tohum', 'su', 'tuz', 'tatlı']"
"acı kuvvet","acı kuvvet","['kuvvet', 'kat', 'kuvveti']"
"acı marul","acı marul","['bitki', 'meyve', 'şifa', 'mucize']"
"acı meyan","acı meyan","['mey', 'su']"
"acı ot","acı ot","['bitki', 'tatlı', 'ot', 'meyve']"
"acı pelin","acı pelin","['pel', 'cen']"
"acı sakız","acı sakız","['sakız', 'af']"
"acı söz","acı söz","['af', 'met']"
"acı su","acı su","['tatlı', 'su', 'tat', 'çeş']"
"acı yavşan","acı yavşan","['şe', 'bitki', 'ot']"
"acı yitimi","acı yitim","['süre', 'refleks']"
"acı yonca","acı yonca","['bitki', 'şifa', 'meyve', 'ağaç', 'ot']"
"acibe","acibe","['şeyin']"
"acil ihtiyaç kredisi","acil ihtiyaç kredi","['kredi', 'ihtiyaç', 'para', 'tl', 'taksi']"
"acil servis","acil servis","['hastane', 'acil', 'ambulans', 'hastanenin', 'servis']"
"aciz","aciz","['aciz']"
"aciz","aciz","['aciz']"
"aciz","aciz","['aciz']"
"acube","acube","['acube']"
"acube","acube","['acube']"
"acun","acun","['sema', 'kat']"
"acur (II)","acur ( ii )","['meyve', 'bitki', 'ağaç', 'sebze']"
"acuze","acuze","['sey']"
"acyo","acyo","['banka', 'kart', 'para', 'bilgisayar', 'kredi']"
"acyo","acyo","['para', 'yüzde']"
"acyo","acyo","['yüzde', 'hisse', 'para', 'komisyon']"
"acyocu","acyocu","['acyocu']"
"açacak","açacak","['araç', 'alet', 'kap', 'şişe']"
"açacak","açacak","['araç', 'araba', 'alet']"
"açacak","açacak","['anahtar']"
"açan","açan","['kas', 'eklem', 'tok']"
"açar","açar","['anahtar']"
"açar","açar","['içki', 'rit']"
"açelya","açelya","['bitki', 'meyve', 'ağaç', 'çiçek', 'hayvan']"
"açgözlülük","açgöz","['tama', 'nef']"
"açı","açı","['sin', 'd', 'pi']"
"açı","açı","['açı']"
"açı","açı","['sin', 'pi', 'd']"
"açıcılık","açıcı","['özellik', 'hâl']"
"açığa alınma","açık alınma","['önlem', 'görev', 'süre', 'tedbir']"
"açığa alma","açık al","['af', 'süre', 'görev', 'ceza', 'önlem']"
"açıkağız","açıkağız","['bitki', 'meyve', 'ağaç', 'madde']"
"açıkçası","açıkçası","['açıkçası']"
"açıkçası","açıkçası","['açıkçası']"
"açıkçı","açıkçı","['açıkçı']"
"açıkgözlük","açıkgöz","['hay', 'zan']"
"açıkgözlülük","açıkgöz","['nef']"
"açıklama","açıklama","['ka']"
"açıklama cümlesi","açıkla cümle","['cümle', 'son', 'açıklama']"
"açıklanan","açıkla","['kavram', 'şeyin', 'bilgi']"
"açıklanma","açıkla","['görev']"
"açıklar livası","açıkla liva","['açıkla liva']"
"açıklaşma","açıklaş","['açıklaş']"
"açıklaştırma","açıklaş","['görev']"
"açıklatma","açıklat","['açıklat']"
"açıklayan","açıkla","['açıkla']"
"açıklayıcılık","açıklayıcı","['özellik']"
"açıklayış","açıklay","['açıklay']"
"açıklık","açıklık","['açıklık']"
"açıklık","açıklık","['ken', 'kes']"
"açıklık","açıklık","['mes']"
"açıklık","açıklık","['yerde']"
"açıklık","açıklık","['açıklık']"
"açıklık","açıklık","['giz']"
"açıklık","açıklık","['yüzde', 'miktar']"
"açıklık","açıklık","['ka', 'vücu', 'mec']"
"açıklık","açıklık","['delik', 'cm', 'pi', 'yüzde']"
"açıklıkölçer","açıklıkölçer","['alet', 'ölçme', 'ölçü', 'elektro', 'makine']"
"açıklık politikası","açık politika","['öncelik', 'araç', 'politika', 'ilke']"
"açıktan atama","açık atama","['derece', 'atama', 'basamak', 'istisna']"
"açıktan tayin","açık tayin","['memur', 'derece']"
"açık ağıl","açık ağıl","['han', 'mahalle', 'ev']"
"açık alan","açık alan","['orman', 'park', 'göl']"
"açık artırma","açık artır","['caiz', 'alışveriş', 'mal']"
"açık bilet","açık bilet","['bilet', 'mil', 'taksi', 'açık']"
"açık bono","açık bono","['tahvil', 'para', 'senet', 'bono']"
"açık bölge","açık bölge","['serbest', 'bölge', 'mahalle']"
"açık büfe","açık büfe","['ziyaf', 'yemek', 'konaklama']"
"açık celse","açık celse","['cel']"
"açık ciro","açık ciro","['yüzde', 'pay']"
"açık çek","açık çek","['çek', 'para', 'yüzde']"
"açık çek","açık çek","['met', 'güvence', 'kredi']"
"açık deniz","açık deniz","['deniz', 'göl', 'engin']"
"açık deniz","açık deniz","['deniz', 'göl', 'su']"
"açık devre","açık devre","['devre', 'elektrik', 'iletken', 'elektro', 'kapalı']"
"açık dolaşım sistemi","açık dolaşım sistem","['kan', 'kalb', 'dolaşım', 'arter']"
"açık durum","açık durum","['kapalı', 'açık', 'serbest', 'mani']"
"açık duruşma","açık duruşma","['cel', 'duruşma', 'şah']"
"açık düşme","açık düş","['ceza', 'kaza', 'at']"
"açık eksiltme","açık eksilt","['mal', 'yüzde', 'satış', 'caiz']"
"açık ellilik","açık elli","['met']"
"açık fikirlilik","açık fikirli","['açık fikirli']"
"açık görüş","açık görüş","['mec']"
"açık gri","açık gri","['gri', 'renk', 'km']"
"açık gri","açık gri","['renkte', 'renk', 'reng']"
"açık hava","açık hava","['eğlence', 'cami']"
"açık hava","açık hava","['hava', 'sema']"
"açık hava müzesi","açık hava müze","['müze', 'özel', 'yapı']"
"açık hava sineması","açık hava sinema","['nevi', 'sera', 'araç', 'sinema']"
"açık hava tiyatrosu","açık hava tiyatro","['tiyatro', 'oyun', 'nevi', 'orkestra']"
"açık hece","açık hece","['ünlü', 'he']"
"açık hesap","açık hesap","['alışveriş', 'taksi', 'yüzde', 'caiz', 'nak']"
"açık imza","açık imza","['imza', 'ka', 'açık', 'zım']"
"açık işletme","açık işletme","['işletme', 'maden', 'kapalı', 'endüstri', 'orman']"
"açık kahverengi","açık kahverengi","['renkte', 'renk', 'leke', 'reng']"
"açık kahverengi","açık kahverengi","['kahverengi', 'kahve', 'renk', 'renkte']"
"açık kalplilik","açık kalpli","['açık kalpli']"
"açık kalp ameliyatı","açık kalp ameliyat","['ameliyat', 'mucize', 'tedavi', 'cerrahi']"
"açık kapı politikası","açık kapı politika","['araç', 'siyas', 'serbest']"
"açık kapı siyaseti","açık kapı siyaset","['tak', 'siyas']"
"açık kart","açık kart","['güvence']"
"açık kestane","açık kestane","['reng', 'renk', 'kest', 'kahverengi', 'renkte']"
"açık kestane","açık kestane","['reng', 'renkte', 'renk']"
"açık kırmızı","açık kırmızı","['ton', 'renk', 'renkte']"
"açık kırmızı","açık kırmızı","['renkte', 'renk', 'elbise', 'leke']"
"açık kredi","açık kredi","['borç', 'para', 'açık', 'kredi', 'kef']"
"açık liman","açık liman","['liman', 'deniz', 'kapalı']"
"açık liman","açık liman","['liman', 'deniz', 'kapalı']"
"açık lise","açık lise","['üniversite', 'lise', 'ilköğretim', 'okul', 'özel']"
"açık maaşı","açık maaş","['yüzde', 'ytl', 'mil', 'ayın']"
"açık mavi","açık mavi","['mavi', 'renk']"
"açık mavi","açık mavi","['renkte', 'renk', 'elbise', 'reng']"
"açık mektup","açık mektup","['mektup', 'zarf']"
"açık mektup","açık mektup","['mec', 'haber', 'mektup', 'ihbar']"
"açık ordugâh","açık ordugâh","['kale', 'han', 'kapalı', 'ordu']"
"açık oturum","açık oturum","['toplantı', 'tv', 'seminer']"
"açık oy","açık oy","['oy', 'red', 'açık']"
"açık öğretim","açık öğretim","['eğitim', 'yükseköğretim', 'üniversite', 'öğretim', 'ortaöğretim']"
"açık önerme","açık öner","['açık', 'öner', 'sabit', 'değişken', 'kapalı']"
"açık pazar","açık pazar","['pazar', 'serbest']"
"açık pembe","açık pembe","['renk', 'renkte', 'reng', 'pembe']"
"açık pembe","açık pembe","['renkte', 'renk', 'reng', 'leke']"
"açık piyasa","açık piyasa","['piyasa', 'pazar', 'ekonomi', 'borsa', 'serbest']"
"açık poliçe","açık poliçe","['poli', 'sigorta', 'açık', 'yüzde']"
"açık raf","açık raf","['vitrin', 'raf', 'kütüphane']"
"açık rejim","açık rejim","['sistem', 'demokrasi', 'demokratik', 'anayasa', 'rejim']"
"açık saçıklık","açık saçık","['özellik']"
"açık sarı","açık sarı","['ton', 'km', 'kg']"
"açık sarı","açık sarı","['renkte', 'renk', 'reng', 'renkli']"
"açık sayım","açık sayım","['seçim', 'yüzde', 'temsil', 'ölçü']"
"açık seçiklik","açık seçik","['özellik']"
"açık senet","açık senet","['tahvil', 'senet']"
"açık sözlülük","açık sözlü","['açık sözlü']"
"açık şehir","açık şehir","['açık', 'kapalı', 'kale']"
"açık taşıt","açık taşıt","['araç']"
"açık teşekkür","açık teşekkür","['af', 'red']"
"açık tohumlular","açık ","['cins', 'nevi', 'ağaç']"
"açık tribün","açık tribün","['kapalı', 'kale', 'cami', 'stadyum', 'stad']"
"açık yara","açık yara","['yara', 'açık', 'af', 'kesi']"
"açık yeşil","açık yeşil","['renkte', 'renk', 'reng']"
"açık yeşil","açık yeşil","['km', 'ha', 'ton']"
"açık yüreklilik","açık yürekli","['samimiyet', 'met', 'mez', 'tama']"
"açık zaman","açık zaman","['süre', 'saniye']"
"açılama","açılama","['dizi', 'ölçü', 'kamera', 'sahne']"
"açılım","açılım","['di']"
"açılım","açılım","['ifade', 'ye']"
"açılım","açılım","['süre', 'km', 'uzaklık']"
"açılış","açılış","['tören', 'işlem']"
"açılış","açılış","['açılış', 'başlangıç']"
"açılış konuşması","aç konuş","['açılış', 'tören', 'konuşma', 'temsil']"
"açılış töreni","aç tören","['tören', 'törenle', 'açılış', 'kutlama']"
"açılma","açılma","['açılma']"
"açılma","açılma","['ışık', 'nokta', 'ayna', 'açık']"
"açılma","açılma","['vak', 'delik']"
"açılma","açılma","['rit', 'dans', 'ilk']"
"açım","açım","['hâl', 'derece']"
"açımlama","açımla","['şer', 'tali', 'tar']"
"açımlanma","açımla","['işlem']"
"açındırma","açındır","['açındır']"
